Bloque,Variable,Nombre_bloque,Nombre_variable,Descripcion_variable,Fuente,Unidad
2,2.19,DINAMISMO ECONÓMICO,Personas empleadas del sector secundario,Ocupados totales en las ramas de activida pertenecientes al sector secundario,Fórmula de unión de ocupados en aquellas ramas pertenecientes al sector secundario (datos originales: Colectivo Empresarial. Dirección General de Economía),Número
2,2.20,DINAMISMO ECONÓMICO,Personas empleadas del sector terciario,Ocupados totales en las ramas de activida pertenecientes al sector terciario,Fórmula de unión de ocupados en aquellas ramas pertenecientes al sector terciario (datos originales: Colectivo Empresarial. Dirección General de Economía),Número
2,2.21,DINAMISMO ECONÓMICO,Crecimiento relativo de la población,Variación relativa de la población de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.22,DINAMISMO ECONÓMICO,Densidad de población,Densidad de población del municipio,Dirección General de Economía de la Comunidad de Madrid,Habitantes/km2
2,2.23,DINAMISMO ECONÓMICO,Edad media de la población censada,Edad media de los habitantes censados de un municipio,Dirección General de Economía de la Comunidad de Madrid,Años
2,2.24,DINAMISMO ECONÓMICO,Grado de envejecimiento de las personas de 45 años y más,Porcentaje de incremento de personas de 45 años y más de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.25,DINAMISMO ECONÓMICO,Grado de envejecimiento de las personas de 55 años y más,Porcentaje de incremento de personas de 55 años y más de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.26,DINAMISMO ECONÓMICO,Grado de envejecimiento de las personas de 65 años y más,Porcentaje de incremento de personas de 65 años y más de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.27,DINAMISMO ECONÓMICO,Grado de envejecimiento de las personas de 75 años y más,Porcentaje de incremento de personas de 75 años y más de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.28,DINAMISMO ECONÓMICO,Grado de envejecimiento de las personas de 85 años y más,Porcentaje de incremento de personas de 85 años y más de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.29,DINAMISMO ECONÓMICO,Grado de juventud de las personas 15 años y menos,Porcentaje de incremento de personas de 15 años y menos de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.30,DINAMISMO ECONÓMICO,Grado de juventud de las personas 25 años y menos,Porcentaje de incremento de personas de 25 años y menos de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.31,DINAMISMO ECONÓMICO,Grado de juventud de las personas 35 años y menos,Porcentaje de incremento de personas de 35 años y menos de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.32,DINAMISMO ECONÓMICO,Grado de juventud de las personas 45 años y menos,Porcentaje de incremento de personas de 45 años y menos de un año (t-1) a otro (t),Dirección General de Economía de la Comunidad de Madrid,Porcentaje
2,2.33,DINAMISMO ECONÓMICO,Variación relativa del paro registrado,Porcentaje de demandas de empleo a satisfacer de un año (t-1) a otro (t),"Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo",Porcentaje
2,2.34,DINAMISMO ECONÓMICO,Superficie edificable industrial,Superficie edificable de categoría industrial,Fórmula de suma de la superficie edificable de las parcelas de categoría industrial (datos originales: Portal Suelo 4.0 de la Comunidad de Madrid),m2
2,2.35,DINAMISMO ECONÓMICO,Superficie total industrial,Superficie total de categoría industrial,Fórmula de suma de la superficie edificable de las parcelas de categoría industrial (datos originales: Portal Suelo 4.0 de la Comunidad de Madrid),m2
2,2.36,DINAMISMO ECONÓMICO,Superficie edificable industrial dedicada al sector servicios,Superficie edificable de categoría industrial dedicadas al sector terciario,Fórmula de suma de la superficie edificable de las parcelas de categoría industrial dedicadas al sector terciario (datos originales: Portal Suelo 4.0 de la Comunidad de Madrid),m2
2,2.37,DINAMISMO ECONÓMICO,Superficie industrial total dedicada al sector servicios,Superficie total de categoría industrial dedicadas al sector terciario,Fórmula de suma de la superficie total de las parcelas de categoría industrial dedicadas al sector terciario (datos originales: Portal Suelo 4.0 de la Comunidad de Madrid),m2
2,2.38,DINAMISMO ECONÓMICO,Paro registrado de personas entre 25 y 45 años,Demandas de empleo registradas de personas entre 35 y 45 años,"Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo",Número
2,2.39,DINAMISMO ECONÓMICO,Paro registrado de personas de 25 años y más,Demandas de empleo registradas de personas de 25 años y más,"Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo",Número
2,2.40,DINAMISMO ECONÓMICO,Paro registrado de personas de 45 años y más,Demandas de empleo registradas de personas de 45 años y más,"Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo",Número
2,2.41,DINAMISMO ECONÓMICO,Paro registrado de personas de 25 años y menos,Demandas de empleo registradas de personas de 25 años y menos,"Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo",Número
2,2.42,DINAMISMO ECONÓMICO,Paro registrado por cada 100 habitantes,Demangas de empleo registradas por cada 100 habitantes censados en el municipio,"Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo",5
2,2.43,DINAMISMO ECONÓMICO,Paro registrado total,Demandas de empleo totales registradas," Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo",Número
2,2.44,DINAMISMO ECONÓMICO,Porcentaje de personas desempleadas de 25 años y más,Porcentaje de personas registradas en las oficinas de empleo de 25 años y más,"Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo",Porcentaje
2,2.45,DINAMISMO ECONÓMICO,Porcentaje de personas desempleadas de 25 años y menos,Porcentaje de personas registradas en las oficinas de empleo de 25 años y menos,"Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo",Porcentaje
2,2.46,DINAMISMO ECONÓMICO,Población censada entre 0 y 4 años,Personas censadas en el municipio entre 0 y 4 años,Censo de Población Anual. INE,Número
2,2.47,DINAMISMO ECONÓMICO,Población censada entre 5 y 9 años,Personas censadas en el municipio entre 5 y 9 años,Censo de Población Anual. INE,Número
2,2.48,DINAMISMO ECONÓMICO,Población censada entre 10 y 14 años,Personas censadas en el municipio entre 10 y 14 años,Censo de Población Anual. INE,Número
2,2.49,DINAMISMO ECONÓMICO,Población censada entre 15 y 19 años,Personas censadas en el municipio entre 15 y 19 años,Censo de Población Anual. INE,Número
2,2.50,DINAMISMO ECONÓMICO,Población censada entre 20 y 24 años,Personas censadas en el municipio entre 20 y 24 años,Censo de Población Anual. INE,Número
2,2.51,DINAMISMO ECONÓMICO,Población censada entre 25 y 29 años,Personas censadas en el municipio entre 25 y 29 años,Censo de Población Anual. INE,Número
2,2.52,DINAMISMO ECONÓMICO,Población censada entre 30 y 34 años,Personas censadas en el municipio entre 30 y 34 años,Censo de Población Anual. INE,Número
2,2.53,DINAMISMO ECONÓMICO,Población censada entre 35 y 39 años,Personas censadas en el municipio entre 35 y 39 años,Censo de Población Anual. INE,Número
2,2.54,DINAMISMO ECONÓMICO,Población censada entre 40 y 44 años,Personas censadas en el municipio entre 40 y 44 años,Censo de Población Anual. INE,Número
2,2.55,DINAMISMO ECONÓMICO,Población censada entre 45 y 49 años,Personas censadas en el municipio entre 45 y 49 años,Censo de Población Anual. INE,Número
2,2.56,DINAMISMO ECONÓMICO,Población censada entre 50 y 54 años,Personas censadas en el municipio entre 50 y 54 años,Censo de Población Anual. INE,Número
2,2.57,DINAMISMO ECONÓMICO,Población censada entre 55 y 59 años,Personas censadas en el municipio entre 55 y 59 años,Censo de Población Anual. INE,Número
2,2.58,DINAMISMO ECONÓMICO,Población censada entre 60 y 64 años,Personas censadas en el municipio entre 60 y 64 años,Censo de Población Anual. INE,Número
2,2.59,DINAMISMO ECONÓMICO,Población censada entre 65 y 69 años,Personas censadas en el municipio entre 65 y 69 años,Censo de Población Anual. INE,Número
2,2.60,DINAMISMO ECONÓMICO,Población censada entre 70 y 74 años,Personas censadas en el municipio entre 70 y 74 años,Censo de Población Anual. INE,Número
2,2.61,DINAMISMO ECONÓMICO,Población censada entre 75 y 79 años,Personas censadas en el municipio entre 75 y 79 años,Censo de Población Anual. INE,Número
2,2.62,DINAMISMO ECONÓMICO,Población censada entre 80 y 84 años,Personas censadas en el municipio entre 80 y 84 años,Censo de Población Anual. INE,Número
2,2.63,DINAMISMO ECONÓMICO,Población censada entre 85 y 89 años,Personas censadas en el municipio entre 85 y 89 años,Censo de Población Anual. INE,Número
2,2.64,DINAMISMO ECONÓMICO,Población censada entre 90 y 94 años,Personas censadas en el municipio entre 90 y 94 años,Censo de Población Anual. INE,Número
2,2.65,DINAMISMO ECONÓMICO,Población censada entre 95 y 99 años,Personas censadas en el municipio entre 95 y 99 años,Censo de Población Anual. INE,Número
2,2.66,DINAMISMO ECONÓMICO,Población censada de 100 años y más,Personas censadas en el municipio de 100 años y más,Censo de Población Anual. INE,Número
2,2.67,DINAMISMO ECONÓMICO,Población censada total,Personas censadas en el municipio,Censo de Población Anual. INE,Número
2,2.68,DINAMISMO ECONÓMICO,Número de explotaciones agrícolas con SAU,Número total de explotaciones agrícolas en el municipio con SAU (se cuenta en el municipio que tenga la mayor parte de SAU o ganado),Censo Agrario. INE,Número
2,2.69,DINAMISMO ECONÓMICO,Número de explotaciones agrícolas con SAU huertos para consumo propio,Número de explotaciones agrícolas con SAU de huertos para consumo propio (se cuenta en el municipio que tenga la mayor parte de SAU o ganado),Censo Agrario. INE,Número
2,2.70,DINAMISMO ECONÓMICO,Número de explotaciones agrícolas con SAU tierras permanentes para pastos,Número de explotaciones agrícolas con SAU tierras permanentes para pastos (se cuenta en el municipio que tenga la mayor parte de SAU o ganado),Censo Agrario. INE,Número
2,2.71,DINAMISMO ECONÓMICO,Superficie total de las explotaciones agrícolas con SAU,Superficie total de las explotaciones agrícolas con SAU (se cuenta en el municipio que tenga la mayor parte de SAU o ganado),Censo Agrario. INE,ha
2,2.72,DINAMISMO ECONÓMICO,Superficie total de las explotaciones agrícolas con SAU huertos para consumo propio,Superficie total de las explotaciones agrícolas con SAU huertos para consumo propio (se cuenta en el municipio que tenga la mayor parte de SAU o ganado),Censo Agrario. INE,ha
2,2.73,DINAMISMO ECONÓMICO,Superficie total de las explotaciones agrícolas con SAU tierras permanentes para pastos,Superficie total de las explotaciones agrícolas con SAU tierras permanentes para pastos (se cuenta en el municipio que tenga la mayor parte de SAU o ganado),Censo Agrario. INE,ha
2,2.74,DINAMISMO ECONÓMICO,Unidades productivas totales pertenecientes al sector primario,Unidades productivas totales de las ramas de actividad pertenecientes al sector primario,Fórmula de unión de unidades productivas totales en aquellas ramas pertenecientes al sector primario (datos originales: Colectivo Empresarial. Dirección General de Economía),Número
2,2.75,DINAMISMO ECONÓMICO,Unidades productivas totales pertenecientes al sector secundario,Unidades productivas totales de las ramas de actividad pertenecientes al sector secundario,Fórmula de unión de unidades productivas totales en aquellas ramas pertenecientes al sector secundario (datos originales: Colectivo Empresarial. Dirección General de Economía),Número
2,2.76,DINAMISMO ECONÓMICO,Unidades productivas totales pertenecientes al sector terciario,Unidades productivas totales de las ramas de actividad pertenecientes al sector terciario,Fórmula de unión de unidades productivas totales en aquellas ramas pertenecientes al sector terciario (datos originales: Colectivo Empresarial. Dirección General de Economía),Número
2,2.77,DINAMISMO ECONÓMICO,Clúster basado en la zona estadística del municipio,Segmentación en clústers de los municipios basado en las zonas estadísticas NUTS,Fórmula de segmentación en clústers,Número
2,2.78,DINAMISMO ECONÓMICO,Clúster basado en la densidad de población del municipio,Segmentación en clústers de los municipios basado en las densidades de población,Fórmula de segmentación en clústers,Número
2,2.79,DINAMISMO ECONÓMICO,Clúster basado en la distancia del municipio a la capital,Segmentación en clústers de los municipios basado en sus distancias al municipio de Madrid,Fórmula de segmentación en clústers,Número
2,2.80,DINAMISMO ECONÓMICO,Clúster basado en la población censada del municipio,Segmentación en clústers de los municipios basado en sus censos totales de población,Fórmula de segmentación en clústers,Número
2,2.81,DINAMISMO ECONÓMICO,Sector laboral principal económicamente,Sector laboral que represente un mayor Producto Interior Bruto del municipio,Fórmula obtenida a través del PIB de años anteriores mediate IA,Sector laboral
2,2.82,DINAMISMO ECONÓMICO,Población activa (en edad de trabajar),Personas censadas en el municipio entre 15 y 64 años,Fórmula de unión de las personas censadas entre 15 y 64 años,Número
2,2.83,DINAMISMO ECONÓMICO,Contratos totales,Número de contratos totales en el municipio,Fórmula de unión de los contratos de cada sector laboral,Número
2,2.84,DINAMISMO ECONÓMICO,Unidades productivas totales,Número de unidades productivas totales en el municipio,Fórmula de unión de las unidades productivas de cada sector laboral,Número
2,2.85,DINAMISMO ECONÓMICO,Ocupados totales,Número de personas empleadas totales en el municipio,Fórmula de unión de las personas empleadas en cada sector laboral,Número
2,2.86,DINAMISMO ECONÓMICO,Ratio de contratos por población activa,Contratos totales de cada municipio partido por el número de personas en edad activa (15-64). Índice de contratación por municipio,Fórmula de ratio de contratos totales por población activa,5
2,2.87,DINAMISMO ECONÓMICO,Ratio de empleados por población activa,Ocupados totales de cada municipio partido por el número de personas en edad activa (15-64). Índice de empleabilidad por municipio,Fórmula de ratio de ocupados totales por población activa,5
2,2.88,DINAMISMO ECONÓMICO,Ratio de contratos por unidad productiva,Contratos totales de cada municipio partido por el número de unidades productivas de dicho municipio. Índice de contratación empresarial por municipio,Fórmula de ratio de contratos por población activa,5
2,2.89,DINAMISMO ECONÓMICO,Ratio de paro por población activa,Demandas de empleo totales de cada municipio partido por el número de personas en edad activa (15-64). Índice de paro por municipio,Fórmula de ratio de paro totales por población activa,5
2,2.90,DINAMISMO ECONÓMICO,Ratio de empleo por paro,Número de personas empleadas partido por el número de demandas de empleo. Índice de empleabilidad vs paro,Fórmula de ratio de empleo por paro,5
2,2.91,DINAMISMO ECONÓMICO,Ratio de contratos del sector primario por población activa,Contratos totales pertenecientes a las ramas de actividad del sector primario de cada municipio partido por el número de personas en edad activa (15-64). Índice de contratación del sector primario por municipio,Fórmula de ratio de contratos totales del sector primario por población activa,5
2,2.92,DINAMISMO ECONÓMICO,Ratio de empleados del sector primario por población activa,Ocupados totales pertenecientes a las ramas de actividad del sector primario cada municipio partido por el número de personas en edad activa (15-64). Índice de empleabilidad del sector primario por municipio,Fórmula de ratio de ocupados totales por población activa,5
2,2.93,DINAMISMO ECONÓMICO,Ratio de contratos del sector secundario por población activa,Contratos totales pertenecientes a las ramas de actividad del sector secundario de cada municipio partido por el número de personas en edad activa (15-64). Índice de contratación del sector secundario por municipio,Fórmula de ratio de contratos totales del sector secundario por población activa,5
2,2.94,DINAMISMO ECONÓMICO,Ratio de empleados del sector secundario por población activa,Ocupados totales pertenecientes a las ramas de actividad del sector secundario cada municipio partido por el número de personas en edad activa (15-64). Índice de empleabilidad del sector secundario por municipio,Fórmula de ratio de ocupados totales por población activa,5
2,2.95,DINAMISMO ECONÓMICO,Ratio de contratos del sector terciario por población activa,Contratos totales pertenecientes a las ramas de actividad del sector terciario de cada municipio partido por el número de personas en edad activa (15-64). Índice de contratación del sector terciario por municipio,Fórmula de ratio de contratos totales del sector terciario por población activa,5
2,2.96,DINAMISMO ECONÓMICO,Ratio de empleados del sector terciario por población activa,Ocupados totales pertenecientes a las ramas de actividad del sector terciario cada municipio partido por el número de personas en edad activa (15-64). Índice de empleabilidad del sector terciario por municipio,Fórmula de ratio de ocupados totales por población activa,5
2,2.97,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 15 y 19 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 15 y 19 años. Índice de contratación entre 15 y 19 años por municipio,Fórmula de ratio de contratos totales por población censada entre 15 y 19 años,5
2,2.98,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 15 y 19 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 15 y 19 años. Índice de empleabilidad entre 15 y 19 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 15 y 19 años,5
2,2.99,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 15 y 19 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 15 y 19 años. Índice de paro entre 15 y 19 años por municipio,Fórmula de ratio de paro totales por población censada entre 15 y 19 años,5
2,2.100,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 20 y 24 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 20 y 24 años. Índice de contratación entre 20 y 24 años por municipio,Fórmula de ratio de contratos totales por población censada entre 20 y 24 años,5
2,2.101,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 20 y 24 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 20 y 24 años. Índice de empleabilidad entre 20 y 24 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 20 y 24 años,5
2,2.102,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 20 y 24 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 20 y 24 años. Índice de paro entre 20 y 24 años por municipio,Fórmula de ratio de paro totales por población censada entre 20 y 24 años,5
2,2.103,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 25 y 29 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 25 y 29 años. Índice de contratación entre 25 y 29 años por municipio,Fórmula de ratio de contratos totales por población censada entre 25 y 29 años,5
2,2.104,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 25 y 29 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 25 y 29 años. Índice de empleabilidad entre 25 y 29 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 25 y 29 años,5
2,2.105,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 25 y 29 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 25 y 29 años. Índice de paro entre 25 y 29 años por municipio,Fórmula de ratio de paro totales por población censada entre 25 y 29 años,5
2,2.106,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 30 y 34 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 30 y 34 años. Índice de contratación entre 30 y 34 años por municipio,Fórmula de ratio de contratos totales por población censada entre 30 y 34 años,5
2,2.107,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 30 y 34 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 30 y 34 años. Índice de empleabilidad entre 30 y 34 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 30 y 34 años,5
2,2.108,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 30 y 34 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 30 y 34 años. Índice de paro entre 30 y 34 años por municipio,Fórmula de ratio de paro totales por población censada entre 30 y 34 años,5
2,2.109,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 35 y 39 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 35 y 39 años. Índice de contratación entre 35 y 39 años por municipio,Fórmula de ratio de contratos totales por población censada entre 35 y 39 años,5
2,2.110,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 35 y 39 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 35 y 39 años. Índice de empleabilidad entre 35 y 39 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 35 y 39 años,5
2,2.111,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 35 y 39 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 35 y 39 años. Índice de paro entre 35 y 39 años por municipio,Fórmula de ratio de paro totales por población censada entre 35 y 39 años,5
2,2.112,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 40 y 44 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 40 y 44 años. Índice de contratación entre 40 y 44 años por municipio,Fórmula de ratio de contratos totales por población censada entre 40 y 44 años,5
2,2.113,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 40 y 44 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 40 y 44 años. Índice de empleabilidad entre 40 y 44 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 40 y 44 años,5
2,2.114,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 40 y 44 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 40 y 44 años. Índice de paro entre 40 y 44 años por municipio,Fórmula de ratio de paro totales por población censada entre 40 y 44 años,5
2,2.115,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 45 y 49 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 45 y 49 años. Índice de contratación entre 45 y 49 años por municipio,Fórmula de ratio de contratos totales por población censada entre 45 y 49 años,5
2,2.116,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 45 y 49 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 45 y 49 años. Índice de empleabilidad entre 45 y 49 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 45 y 49 años,5
2,2.117,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 45 y 49 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 45 y 49 años. Índice de paro entre 45 y 49 años por municipio,Fórmula de ratio de paro totales por población censada entre 45 y 49 años,5
2,2.118,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 50 y 54 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 50 y 54 años. Índice de contratación entre 50 y 54 años por municipio,Fórmula de ratio de contratos totales por población censada entre 50 y 54 años,5
2,2.119,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 50 y 54 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 50 y 54 años. Índice de empleabilidad entre 50 y 54 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 50 y 54 años,5
2,2.120,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 50 y 54 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 50 y 54 años. Índice de paro entre 50 y 54 años por municipio,Fórmula de ratio de paro totales por población censada entre 50 y 54 años,5
2,2.121,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 55 y 59 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 55 y 59 años. Índice de contratación entre 55 y 59 años por municipio,Fórmula de ratio de contratos totales por población censada entre 55 y 59 años,5
2,2.122,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 55 y 59 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 55 y 59 años. Índice de empleabilidad entre 55 y 59 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 55 y 59 años,5
2,2.123,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 55 y 59 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 55 y 59 años. Índice de paro entre 55 y 59 años por municipio,Fórmula de ratio de paro totales por población censada entre 55 y 59 años,5
2,2.124,DINAMISMO ECONÓMICO,Ratio de contratos por población censada entre 60 y 64 años,Contratos totales de cada municipio partido por el número de personas censadas en edad entre 60 y 64 años. Índice de contratación entre 60 y 64 años por municipio,Fórmula de ratio de contratos totales por población censada entre 60 y 64 años,5
2,2.125,DINAMISMO ECONÓMICO,Ratio de empleados por población censada entre 60 y 64 años,Ocupados totales de cada municipio partido por el número de personas censadas en edad entre 60 y 64 años. Índice de empleabilidad entre 60 y 64 años por municipio,Fórmula de ratio de ocupados totales por población censada entre 60 y 64 años,5
2,2.126,DINAMISMO ECONÓMICO,Ratio de paro por población censada entre 60 y 64 años,Demandas de empleo totales de cada municipio partido por el número de personas en edad entre 60 y 64 años. Índice de paro entre 60 y 64 años por municipio,Fórmula de ratio de paro totales por población censada entre 60 y 64 años,5
2,2.127,DINAMISMO ECONÓMICO,Ratio de unidades productivas por población activa,Unidades productivas totales de cada municipio partido por el número de personas en edad activa (15-64). Índice de disponibilidad empresarial por municipio,Fórmula de ratio de unidades productivas totales por población activa,5
2,2.128,DINAMISMO ECONÓMICO,Ratio de contratos por población activa media del clúster de zona estadística,Contratos totales de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de contratación por municipio,Fórmula de la media del ratio de contratos totales por población activa del clúster de zona estadística,5
2,2.129,DINAMISMO ECONÓMICO,Ratio de empleados por población activa media del clúster de zona estadística,Ocupados totales de cada municipio partido por el número de personas en edad activa (15-64). Media de valores de los municipios pertenecientes al clúster de zona estadística de ese municipio. Índice de empleabilidad por municipio,Fórmula de la media del ratio de ocupados totales por población activa del clúster de zona estadística,5
