referencia_codigo;gestor_codigo;gestor_descripcion;municipio_codigo;municipio_descripcion;localizacion_descripcion;parcela_descripcion;regimen_codigo;clase_codigo;uso_principal_codigo;urbanizacion_codigo;superficie_registrada;superficie_edificable;descripcion_español;descripcion_ingles;observaciones_español;observaciones_ingles;contacto_direccion;referencia_catastral_20;referencia_catastral_14;coordenada_x;coordenada_y;url_visor
000006A;A;Planifica Madrid, Proyectos y Obras, S.A.;074;Leganés;ARROYO CULEBRO PP5;S4-2;V;URB;T;U;21109;9499;Parcela para uso comercial bien situada en la confluencia de M-50 y M-409 , perteneciente al PP-5 de Leganes, una actuación básicamente residencial y se encuentra ubicada en las proximidades de la  estación de FF.CC. . Tiene una superficie de 21.109 m2 y una superficie edificable de 9.499 m2.Pertenece al PP-5 de Leganes,;;;;91 436 15 90;3629105VK3632N0001KD;3629105VK3632N;433617;4462488;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000006A%27&&share&&ZONE=430000,4485000,8
006004Y;Y;Ayuntamiento de Alcobendas;006;Alcobendas;Avenida Fernando Alonso 18;PARCELA T2B;C;URB;T;U;5912,66;7952;"Suelo Urbano. Ordenanza T - Edificación para uso Terciario Específico, del Plan Parcial ""El Juncal"". Grado 3º OFICINAS.";"Urban ground. Ordinance T - Building for Specific Tertiary Use,  Partial Plan ""El Juncal"". Grade 3 OFFICES";Suelo municipal disponible para adjudicación de Derecho de Superficie. La licitación se realizará cuando cuando se constate el interés por la adjudicación en las condiciones que se determinen en cada caso particular.;Public municipal plot available for allocation of Surface Rights. The tender will be carried out when the interest in the award is confirmed under the conditions determined in each particular case.;Javier Merino Díaz  Tf.-91 6597600 ext. 2308 Plaza Mayor,  1. Planta 2ª ? 28100 Alcobendas;8075903VK4887N0001QW;8075903VK4887N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27006004Y%27&&share&&ZONE=430000,4485000,8
000008A;A;Planifica Madrid, Proyectos y Obras, S.A.;015;Arroyomolinos;CIUDAD JARDÍN SAU-3 ARROYOMOLINOS;CT-01;V;URB;C;U;4304,19;2582,51;Parcela para uso comercial situada en el SAU-3 de Ciudad Jardin en Arroyomolinos .Tiene una superficie de 4.304,19 m2 y una superficie edificable de 2.582,51 m2;;;;91 436 15 90;1699902VK2519N0001SG;1699902VK2519N;421510;4459643;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000008A%27&&share&&ZONE=430000,4485000,8
006005Y;Y;Ayuntamiento de Alcobendas;006;Alcobendas;Avenida Fernando Alonso 20;PARCELA T2C;C;URB;T;U;5911,18;7952;"Suelo Urbano. Ordenanza T - Edificación para uso Terciario Específico, del Plan Parcial ""El Juncal"". Grado 3º OFICINAS.";"Urban ground. Ordinance T - Building for Specific Tertiary Use,  Partial Plan ""El Juncal"". Grade 3 OFFICES";Suelo municipal disponible para adjudicación de Derecho de Superficie. La licitación se realizará cuando cuando se constate el interés por la adjudicación en las condiciones que se determinen en cada caso particular.;Public municipal plot available for allocation of Surface Rights. The tender will be carried out when the interest in the award is confirmed under the conditions determined in each particular case.;Javier Merino Díaz  Tf.-91 6597600 ext. 2308 Plaza Mayor,  1. Planta 2ª ? 28100 Alcobendas;8075902VK4887N0001GW;8075902VK4887N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27006005Y%27&&share&&ZONE=430000,4485000,8
006006Y;Y;Ayuntamiento de Alcobendas;006;Alcobendas;Avenida Fernando Alonso 22;PARCELA T2D;C;URB;T;U;5907,18;7952;"Suelo Urbano. Ordenanza T - Edificación para uso Terciario Específico, del Plan Parcial ""El Juncal"". Grado 3º OFICINAS.";"Urban ground. Ordinance T - Building for Specific Tertiary Use,  Partial Plan ""El Juncal"". Grade 3 OFFICES";Suelo municipal disponible para adjudicación de Derecho de Superficie. La licitación se realizará cuando cuando se constate el interés por la adjudicación en las condiciones que se determinen en cada caso particular.;Public municipal plot available for allocation of Surface Rights. The tender will be carried out when the interest in the award is confirmed under the conditions determined in each particular case.;Javier Merino Díaz  Tf.-91 6597600 ext. 2308 Plaza Mayor,  1. Planta 2ª ? 28100 Alcobendas;8075901VK4887N0001YW;8075901VK4887N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27006006Y%27&&share&&ZONE=430000,4485000,8
115060Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Mérida, 19;"PARCELA RU.15-4. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;506,4;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3939109VK3733N0001LS;3939109VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115060Y%27&&share&&ZONE=430000,4485000,8
115061Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Mérida, 21;"PARCELA RU.15-5. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;506,4;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3939108VK3733N0001PS;3939108VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115061Y%27&&share&&ZONE=430000,4485000,8
000077A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;1.11;V;URB;I;U;2520;1638;Parcela de uso industrial con una superficie de 2.520 m2 y una edificabilidad de 1.638 m2 . Pertenece a la actuación urbanística Mostoles Tecnologico con buenos accesos y comunicaciones mediante la A-5 frente a la Universisdad Rey Juan Carlos , la Estación de cercanias de Móstoles-El Soto y Metrosur.;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;5660311VK2656S0001DH;5660311VK2656S;425421;4465886;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000077A%27&&share&&ZONE=430000,4485000,8
000078A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;1.13;V;URB;I;U;2520;1638;Parcela de uso industrial con una supeficie de 2.520 m2 y una edificabilidad de 1.638m2 . Pertenece a la actuación urbanistica Mostoles Tecnologico  frente a la Universidad Rey Juan Carlos con buenas comunicaciones mediante la A-5,  la Estación de cernanias Mostoles-El Soto y Metrosur.;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;5660313VK2656S0001IH;5660313VK2656S;425347;4465847;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000078A%27&&share&&ZONE=430000,4485000,8
000079A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;1.14;V;URB;I;U;3149;2047;Parcela de uso industrial con una superficie de 3.1149 m2 y una edificabilidad de 2.047 m2. Pertenece a la actuación urbanistica Mostoles Tecnologico con bueenos accesos y comunicaciones mediante la A-5 , la Estación de cercanias Mostoles-El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;5660314VK2656S0001JH;5660314VK2656S;425306;4465824;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000079A%27&&share&&ZONE=430000,4485000,8
000002M;M;Metro de Madrid;079;Madrid;Calle Almería 1;Depósito 2 Ventas de Metro de Madrid S.A. APR 04.09;V;URB;R;P;20058,98;32697;APR 04.09 del Plan General de Ordenación Urbana de 1997;;Superficie edificable: 24.827 m² Residencial y 7.870 m² Terciario;;victorino.arranz@metromadrid.es  jorge.avila@metromadrid.es david.mosqueda@metromadrid.es calle Cavanilles 58, Madrid 28007;3959601VK4735H0001FR;3959601VK4735H;443864;4475737;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000002M%27&&share&&ZONE=430000,4485000,8
000092A;A;Dirección General de Suelo;092;Móstoles;MÓSTOLES TECNOLÓGICO;3.6;V;URB;T;U;3535;4065;Parcela de uso terciario con tolerancia industria. Pertenece a la actuacion urbanistica Mostoles Tecnologico ubicada frente a la Univerdidad Rey Juan Carlos con buenos accesos y comunicaciones mediante la  A-5 , la Estación de cercanias Mostoles-El Soto y Metrosur;;Pendiente de Concurso;;Tf.-91 438 21 65 / 66, c/ Alcalá, 16, Madrid 28014.;6264206VK2666S0001PB;6264206VK2666S;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000092A%27&&share&&ZONE=430000,4485000,8
115062Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Extremadura, 14;"PARCELA RU.15-7. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;599,07;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3939101VK3733N0001HS;3939101VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115062Y%27&&share&&ZONE=430000,4485000,8
115063Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Mérida, 20;"PARCELA RU.14-10. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500 m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3937404VK3733N0001XS;3937404VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115063Y%27&&share&&ZONE=430000,4485000,8
115064Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Mérida, 22;"PARCELA RU.14-11. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3937405VK3733N0001IS;3937405VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115064Y%27&&share&&ZONE=430000,4485000,8
115065Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Mérida, 24;"PARCELA RU.14-12. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3937406VK3733N0001JS;3937406VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115065Y%27&&share&&ZONE=430000,4485000,8
000061S;S;Dirección General de Suelo;079;Madrid;LAS SANTERAS 49, CALLE;PARCELA 13 (APE 19.07);V;URB;I;U;1339,7;2631,81;"Suelo Urbano. Ordenanza: Norma Zonal 9.5 ""Actividades Económica"" del APE 19.07 "" La Cuqueña"", con edificcabilidad reconocida y urbanización consolidada. Acceso inmediato a M-45, entre la R-3 y la A-3. Próximo a la estación de tren de cercanias de Vicálvaro.";;Pendiente de concurso;;Tf.-91 438 21 61 / 59, c/Alcalá, 16, Madrid 28014;0315610VK5701E0001OQ;0315610VK5701E;450172;4471311;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000061S%27&&share&&ZONE=430000,4485000,8
115066Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Trujillo, 13;"PARCELA RU.14-1. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500 m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3937412VK3733N0001ZS;3937412VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115066Y%27&&share&&ZONE=430000,4485000,8
115067Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Trujillo, 15;"PARCELA RU.14-2. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3937411VK3733N0001SS;3937411VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115067Y%27&&share&&ZONE=430000,4485000,8
115068Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Trujillo, 17;"PARCELA RU.14-3. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3937410VK3733N0001ES;3937410VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115068Y%27&&share&&ZONE=430000,4485000,8
008004Y;Y;Ayuntamiento de Aldea del Fresno;008;Aldea del Fresno;C/ Gavilán nº 29;;V;URB;R;U;265;265;Suelo Urbano. Residencial Unifamiliar. Grado 2;Urban ground. Single Family Residential. Grade 2;;;918637002 Pza. de la Constitución, 2Aldea del Fresno;8038506UK9683N0001WJ;8038506UK9683N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27008004Y%27&&share&&ZONE=430000,4485000,8
115069Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Trujillo, 19;"PARCELA RU.14-4. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3937409VK3733N0001ZS;3937409VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115069Y%27&&share&&ZONE=430000,4485000,8
000906S;S;Dirección General de Suelo;104;Paracuellos de Jarama;LOS CACES -  UE-11;LOS CACES -  UE-11;V;URB;I;P;19193;11981,91;Suelo Urbano no consolidado. Ordenanza: IE-CT (Industrial Exento-coexistencia terciario). Parcela, única de este tamaño, situada en polígono  industrial consolidado de Parcuellos de Jarama. Buenos accesos a las carreteras principales de Madrid, está a 5 minutos del Aeropuerto de Madrid-Barajas.;;Pendiente de concurso. Servidumbre de paso consignada en nota simple;;Tf.-91 438 21 61 / 59, c/Alcalá, 16, Madrid 28014;3550401VK5835S0001HF;3550401VK5835S;453380;4484933;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27000906S%27&&share&&ZONE=430000,4485000,8
115070Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Trujillo, 21;"PARCELA RU.14-5. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3937408VK3733N0001SS;3937408VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115070Y%27&&share&&ZONE=430000,4485000,8
115071Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Trujillo, 23;"PARCELA RU.14-6. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;500;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500  m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3937407VK3733N0001ES;3937407VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115071Y%27&&share&&ZONE=430000,4485000,8
100315S;S;Dirección General de Suelo;113;Pinto;S 4 MATEU CROMO;M 5-3-3;V;URB;T;U;2332;1749;"Suelo Urbano. Servicios Empresariales (Terciario Comercial) Ordenanza: Condiciones Pariculares de la Zona de Servicios Empresariales. Sector-4 ""Mateu Cromo"". Usos complementarios: Equipamiento comercial de hostelería. Todo aquel que coadyude al principal, siempre y cuando esté ligado al mismo y no supere el porcentaje que establece el Plan General de Ordenación Urbana de Pinto para considerarse complementario. Usos compatibles: Los usos de equipamiento dotacional y comercial, menos el equipamiento comercial de hostelería. Área industrial de tamaño pequeño/medio bastante funcional y que dispone de buenos servicios y seguridad privada. Ubicado al oeste del municipio de Pinto y cercano a Parla. Distancia con Madrid capital: 25 km. Distancia al aeropuerto de Barajas: 39 Km. Buenas comunicaciones en autobuses. Por carretera se accede por la R-4, próximo a M-50 entre la A-42(Autovía de Toledo) y la A-4. Ferrocarril: C-3 (Madrid-Aranjuez), estación de Pinto.";;Cesión de suelo de Valor Equivalente, Lucrativa. Pendiente de concurso.;;Tf.-91 438 21 61 / 59, c/Alcalá, 16, Madrid 28014;8053604VK3585S0001PK;8053604VK3585S;437830;4455197;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27100315S%27&&share&&ZONE=430000,4485000,8
100256S;S;Dirección General de Suelo;044;Colmenarejo;CASCO URBANO;R-3 (C/ Sevillano);V;URB;O;U;1548,81;2323,22;"Ordenanza: Zona 02 ""Ensanche del Casco"". Usos complementarios: 1.Uso Terciario Comercial, en clase comercio en categorías 1ª, 2ª, 3ª, en planta baja, y categoría 4ª en edificio de uso exclusivo, en clase hostelero categoría 6ª en cualquier posición de la edificación, y en categoría 7ª en edificio de uso exclusivo, y en categoría 9ª en situación de planta baja. 2.Uso terciario, en clase oficinas en categoría, 1ª, 2ª y 4ª en cualquier posición de la edificación y en categoría 3ª en planta baja y primera. 3.Uso dotacional: en categoría 1ª, 5ª, 6ª y 7ª en situación de planta baja o en edificio de uso exclusiva. Parcela del casco antiguo de Colmenarejo. Municipio situado en el noroeste de la región, en las estribaciones de la Sierra de Guadarrama, junto al embalse de Valmayor, a 37 kilómetros de distancia Madrid. Acceso por la M-505/Carretera del Escorial. Autobus directo al Intercambiador de Moncloa-Madrid.";;Cesión de suelo de Valor Equivalente, Lucrativa. Pendiente de concurso.;;Tf.-91 438 21 61 / 59, c/Alcalá, 16, Madrid 28014;4206640VK1940N0001ZB;4206640VK1940N;414172;4490329;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27100256S%27&&share&&ZONE=430000,4485000,8
100245S;S;Dirección General de Suelo;113;Pinto;S 5 INDUSTRIAL OESTE;M-9.2.B;V;URB;T;U;3150;2362;"Suelo Urbano. Servicios empresariales. Ordenanza: Condiciones Particulares de la Zona de Servicios empresariales. Sector-5 ""industrial Oeste"". Terciario y Comercial, categorías 1ª y 2ª. Usos complementarios: Equipamiento comercial de hostelería. Todo aquel que coadyude al principal, siempre y cuando esté ligado al mismo y no supere el porcentaje que establece el Plan General de Ordenación Urbana de Pinto para considerarse complementario. Usos compatibles:  Los usos de equipamiento permitidos en la Ordenanza EQ del PGOU. Los usos de equipamiento comercial. Polígono industrial en desarrollo y con la mejor locaclización. Junto a la R-4, entre la M506 y M-408. Zona inmejorable.";;Cesión de suelo de Valor Equivalente, Lucrativa. Pendiente de concurso.;;Tf.-91 438 21 61 / 59, c/Alcalá, 16, Madrid 28014;7560912VK3575S0001AF;7560912VK3575S;437577;4455208;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27100245S%27&&share&&ZONE=430000,4485000,8
100976S;S;Dirección General de Suelo;161;Valdemoro;S R 9N LAS ZANJAS NORTE;M-20-1;V;URB;R;U;1511,45;3150;"Residencial Colectivo de Protección Pública. Ordenanza: RCPP grado 2º VPPL. Ubicado en el SR9N "" Las Zanjas Norte"" en Valdemoro. Muy buenas comunicaciones por carretera. Junto a la M-423, variante oeste de Valdemoro, que da acceso al nuevo Hospital Infanta Elena ubicado en esta localidad. Comunica con la M-506 en su cruce con la A-4 y finaliza en la M-404(Navalcarnero-Chinchón) en su intersección con la R-4. Además cuenta Valdemoro con una estación de Cercanías dentro de la línea C-3 (Chamartín ¿ Atocha ¿ Aranjuez). A 27 km de Madrid capital. Usos compatibles: Residencial: categoría 3ª/Garaje: categoría 1ª,2ª,3ª/Comercio: categoría 1ª,2ªy3ªen planta baja/Hostelero:categoria 5ªy6ª en p.baja o 1ª con acceso directo desde calle y vinculado a p.baja, o edifcio exclusivo/Recreativo:categoría 8ª en planta baja/Oficinas: categoria 11ª y categorías 12ªy13ª en planta baja/Otros servicios: categoría 14ª en planta baja y 1ª/Educativo:categoría 1ª,4ª y 5ª en p.baja;categoría 2ª,3ª,6ª y 7ª en planta baja y 1ª con acceso directo desde calle y vinculado a planta baja/Asistencial:categoría 8ª en planta baja,categoría 9ª en edificio exclusivo/Sanitario:categoría 10ª en cualquier planta, siendo su superficie inferior a 1/3 de la vivienda o a 30m2;categoría 11ª en planta baja o 1ª con acceso directo desde la calle y vinculado a planta baja;categoría 12ªen edificio exclusivo y categoría 13ª solo en planta baja/Servicio Público categoria centros de administración, apdo. 4 en planta baja o 1ª con acceso directo desde calle y vinculado a planta baja/Religioso categoría 16ª en planta baja y 17ª en edificio exclusivo/Deportivo categoría 18ª en planta baja y 19ª en edificio exclusivo/Espacios libres y zonas verdes categoria 1ª a 4ª/Transportes y Comunicaciones clase Red Viaria, todas las categorías/Transportes y Comunicaciones clase Servicios Públicos.";;;;Tf.-91 438 21 61 / 59, c/Alcalá, 16, Madrid 28014;1101903VK4500S0001TT;1101903VK4500S;441058;4449982;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27100976S%27&&share&&ZONE=430000,4485000,8
100017S;S;Dirección General de Suelo;007;Alcorcón;PP 3 LOS PALOMARES;PARCELA 27.3.1;C;URB;O;U;17549;17549;Uso Sector: Residencial. Uso parcela: Dotacional Público: Educativo, cultural, sanitario, asistencial, recreativo y administrativo.;;Red supramunicipal de equipamientos. Para concesión administrativa.;;Tf.-91 438 21 61 / 59, c/Alcalá, 16, Madrid 28014;0347601VK3604N0001QS;0347601VK3604N;430281;4464535;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27100017S%27&&share&&ZONE=430000,4485000,8
115072Y;Y;Ayuntamiento de Pozuelo de Alarcón;115;Pozuelo de Alarcón;CALLE Trujillo, 12;"PARCELA RU.13-7. API 4.6-03 ""Parque Arroyo Meaques""";V;URB;R;U;550,5;285;Suelo urbano. Residencial Unifamiliar Aislada o pareada. Parcela mínima 500 m2;;Parcela pendiente de depuración por defecto de cabida;Property pending  regularization.;Ayuntamiento de Pozuelo de Alarcón Tf.-914522700 Ext. 2540 pchavarri@pozuelo.madrid;3936601VK3733N0001ZS;3936601VK3733N;;;https://idem.madrid.org/visor/?v=suelo&&l=Callejero:Callejero2,SIGI_V_MUNICIPIOS,SIGI_V_SUELO_PARCELA&&f=,,CD_REFERENCIA=%27115072Y%27&&share&&ZONE=430000,4485000,8
