Sector agrario.Censo agrario 2020.Características  de los jefes de las explotaciones y mano de obra. Jefes de explotaciones agrarias con experiencia agraria exclusivamente. Unidad: Número. Fuente: Censo Agrario. INE.;
Municipios;0549;Escorial (El);26;
Municipios;0552;Estremera;102;
Municipios;0565;Fresnedillas de la Oliva;15;
Municipios;0571;Fresno de Torote;6;
Municipios;0587;Fuenlabrada;19;
Municipios;0590;Fuente el Saz de Jarama;8;
Municipios;0604;Fuentidueña de Tajo;37;
Municipios;0611;Galapagar;17;
Municipios;0626;Garganta de los Montes;16;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;8;
Municipios;0647;Gascones;3;
Municipios;0650;Getafe;26;
Municipios;0663;Griñón;9;
Municipios;0679;Guadalix de la Sierra;47;
Municipios;0685;Guadarrama;26;
Municipios;0698;Hiruela (La);-;
Municipios;0702;Horcajo de la Sierra-Aoslos;4;
Municipios;0719;Horcajuelo de la Sierra;1;
Municipios;0724;Hoyo de Manzanares;11;
Municipios;0730;Humanes de Madrid;17;
Municipios;0745;Leganés;6;
Municipios;0758;Loeches;6;
Municipios;0761;Lozoya;13;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;18;
Municipios;0783;Madarcos;3;
Municipios;0796;Madrid;79;
Municipios;0800;Majadahonda;7;
Municipios;0822;Manzanares el Real;10;
Municipios;0838;Meco;19;
Municipios;0843;Mejorada del Campo;16;
Municipios;0856;Miraflores de la Sierra;14;
Municipios;0869;Molar (El);89;
Municipios;0875;Molinos (Los);17;
Municipios;0881;Montejo de la Sierra;7;
Municipios;0894;Moraleja de Enmedio;16;
Municipios;0908;Moralzarzal;5;
Municipios;0915;Morata de Tajuña;90;
Municipios;0920;Móstoles;13;
Municipios;0936;Navacerrada;5;
Municipios;0941;Navalafuente;10;
Municipios;0954;Navalagamella;12;
Municipios;0967;Navalcarnero;194;
Municipios;0973;Navarredonda y San Mamés;9;
Municipios;0992;Navas del Rey;38;
Municipios;1006;Nuevo Baztán;9;
Municipios;1013;Olmeda de las Fuentes;5;
Municipios;1028;Orusco de Tajuña;34;
Municipios;1049;Paracuellos de Jarama;12;
Municipios;1065;Parla;12;
Municipios;1071;Patones;10;
Municipios;1087;Pedrezuela;10;
Municipios;1090;Pelayos de la Presa;4;
Municipios;1104;Perales de Tajuña;80;
Municipios;1111;Pezuela de las Torres;25;
Municipios;1126;Pinilla del Valle;3;
Municipios;1132;Pinto;17;
Municipios;1147;Piñuécar-Gandullas;12;
Municipios;1150;Pozuelo de Alarcón;5;
Municipios;1163;Pozuelo del Rey;15;
Municipios;1179;Prádena del Rincón;5;
Municipios;1185;Puebla de la Sierra;-;
Municipios;9020;Puentes Viejas;16;
Municipios;1198;Quijorna;8;
Municipios;1202;Rascafría;17;
Municipios;1219;Redueña;9;
Municipios;1224;Ribatejada;10;
Municipios;1230;Rivas-Vaciamadrid;10;
Municipios;1245;Robledillo de la Jara;-;
Municipios;1258;Robledo de Chavela;26;
Municipios;1261;Robregordo;2;
Municipios;1277;Rozas de Madrid (Las);4;
Municipios;1283;Rozas de Puerto Real;25;
Municipios;1296;San Agustín del Guadalix;18;
Municipios;1300;San Fernando de Henares;6;
Municipios;1317;San Lorenzo de El Escorial;16;
Municipios;1338;San Martín de Valdeiglesias;218;
Municipios;1322;San Martín de la Vega;85;
Municipios;1343;San Sebastián de los Reyes;10;
Municipios;1356;Santa María de la Alameda;33;
Municipios;1369;Santorcaz;30;
Municipios;1375;Santos de la Humosa (Los);14;
Municipios;1381;Serna del Monte (La);3;
Municipios;1408;Serranillos del Valle;7;
Municipios;1415;Sevilla la Nueva;5;
Municipios;1436;Somosierra;4;
Municipios;1441;Soto del Real;9;
Municipios;1454;Talamanca de Jarama;43;
Municipios;1467;Tielmes;62;
Municipios;1473;Titulcia;14;
Municipios;1489;Torrejón de Ardoz;3;
Municipios;1505;Torrejón de Velasco;66;
Municipios;1492;Torrejón de la Calzada;4;
Municipios;1512;Torrelaguna;45;
Municipios;1527;Torrelodones;-;
Municipios;1533;Torremocha de Jarama;44;
Municipios;1548;Torres de la Alameda;29;
Municipios;9036;Tres Cantos;11;
Municipios;1551;Valdaracete;111;
Municipios;1564;Valdeavero;8;
Municipios;1570;Valdelaguna;72;
Municipios;1586;Valdemanco;4;
Municipios;1599;Valdemaqueda;-;
Municipios;1603;Valdemorillo;28;
Municipios;1610;Valdemoro;17;
Municipios;1625;Valdeolmos-Alalpardo;11;
Municipios;1631;Valdepiélagos;7;
Municipios;1646;Valdetorres de Jarama;21;
Municipios;1659;Valdilecha;128;
Municipios;1662;Valverde de Alcalá;8;
Municipios;1678;Velilla de San Antonio;3;
Municipios;1684;Vellón (El);23;
Municipios;1697;Venturada;8;
Municipios;1718;Villa del Prado;216;
Municipios;1701;Villaconejos;43;
Municipios;1723;Villalbilla;20;
Municipios;1739;Villamanrique de Tajo;28;
Municipios;1744;Villamanta;46;
Municipios;1757;Villamantilla;6;
Municipios;1782;Villanueva de Perales;2;
Municipios;1760;Villanueva de la Cañada;5;
Municipios;1776;Villanueva del Pardillo;8;
Municipios;1795;Villar del Olmo;19;
Municipios;1809;Villarejo de Salvanés;402;
Municipios;1816;Villaviciosa de Odón;27;
Municipios;1821;Villavieja del Lozoya;3;
Municipios;1837;Zarzalejo;13;
Notas;
Los datos de una explotación agrícola se ubican en el municipio donde dicha explotación tenga la mayor cantidad de SAU y/o ganado.;
;
Jefe de la explotación: Es la persona física responsable de las actividades financieras y de producción, corrientes y cotidianas de la explotación agrícola.;
;
'-' = dato protegido por secreto estadístico.;
